NAME, DATE, LAST, LL, LH, NEXT, NL, NH,LTP
JUBLFOOD,24-Dec-2018,S,1255.175,1308.6001,B,1255.18,1308.60,1216.8
SRF,24-Dec-2018,S,2130.5063,2191.0654,B,2130.51,2191.07,1963.05
BHEL,17-Dec-2018,B,65.5875,68.046875,S,66.35,68.91,71.1
L&TFH,12-Dec-2018,B,135.39688,139.99063,S,142.42,147.43,152.8
INDIGO,13-Dec-2018,B,1006.96875,1040.6969,S,1031.06,1067.09,1163.2
LICHSGFIN,13-Dec-2018,B,442.6625,458.3375,S,445.49,462.31,472.65
GODREJCP,12-Dec-2018,B,729.57806,751.0999,S,771.78,795.72,805.65
PEL,13-Dec-2018,B,2119.9875,2203.6218,S,2132.53,2205.51,2300.2
SIEMENS,11-Dec-2018,B,912.58124,946.11566,S,938.96,974.75,995.0
BANKBARODA,12-Dec-2018,B,106.2625,110.15625,S,107.99,111.47,115.25
ABB,21-Dec-2018,S,7422.2217,7618.762,B,7433.93,7626.01,1302.4
CADILAHC,06-Dec-2018,S,350.2594,362.92502,B,346.15,355.14,341.8
HDFCLIFE,13-Dec-2018,S,388.17188,396.03436,B,388.00,395.51,385.0
NMDC,17-Dec-2018,B,92.53437,95.18437,S,92.67,95.31,94.55
OFSS,12-Dec-2018,B,3427.0405,3524.9,S,3515.26,3620.20,3660.0
NHPC,21-Dec-2018,S,25.925,26.375,B,25.94,26.37,25.9
SRTRANSFIN,12-Dec-2018,B,1120.2782,1169.3938,S,1142.98,1191.31,1197.5
BANDHANBNK,12-Dec-2018,B,464.05624,481.11566,S,496.03,517.27,524.1
BEL,19-Dec-2018,B,82.12812,85.53437,S,81.72,85.18,87.9
PETRONET,13-Dec-2018,B,210.23126,215.39687,S,212.58,218.02,222.05
BRITANNIA,21-Dec-2018,B,3048.9565,3125.4685,S,3056.59,3135.16,3100.0
AUROPHARMA,06-Dec-2018,S,781.59375,805.125,B,745.04,768.89,714.95
ABCAPITAL,28-Nov-2018,S,106.90938,110.56249,B,98.42,101.25,97.2
COLPAL,15-Nov-2018,B,1098.0093,1122.4062,S,1249.78,1286.70,1315.25
ASHOKLEY,21-Dec-2018,S,103.90313,106.99062,B,103.59,106.74,104.35
CONCOR,21-Dec-2018,S,655.35944,673.2969,B,654.88,672.68,649.9
