NAME, DATE, LAST, LL, LH, NEXT, NL, NH,LTP
APOLLOTYRE,11-Dec-2018,B,225.53749,232.58437,S,229.59,236.60,233.55
M&MFIN,12-Dec-2018,B,417.13437,434.58435,S,424.75,443.68,462.75
FEDERALBNK,28-Nov-2018,B,79.28125,81.87187,S,84.82,87.94,92.95
EXIDEIND,12-Dec-2018,B,248.68126,256.175,S,252.88,260.13,263.5
CHOLAFIN,21-Dec-2018,S,1233.9625,1278.3875,B,1235.91,1280.55,1224.9
RBLBANK,12-Dec-2018,B,546.04376,562.78754,S,551.85,569.47,562.45
JUBLFOOD,17-Dec-2018,B,1233.3468,1279.9939,S,1244.43,1293.47,1314.95
PAGEIND,14-Nov-2018,S,28623.475,29699.725,B,24578.19,25542.55,24200.0
CENTURYTEX,12-Dec-2018,B,882.44995,908.525,S,888.94,916.19,912.75
GODREJIND,21-Dec-2018,S,534.8656,552.08746,B,533.67,551.24,522.6
INDIANB,12-Dec-2018,B,220.74687,228.675,S,223.95,232.31,238.6
GMRINFRA,19-Dec-2018,B,15.465625,15.90625,S,15.45,15.92,15.85
RAMCOCEM,12-Dec-2018,B,596.61255,614.2125,S,600.64,620.16,633.85
BHARATFORG,20-Nov-2018,S,575.6906,594.25,B,523.34,543.21,502.0
MRPL,19-Dec-2018,B,71.93437,74.10313,S,71.82,73.99,74.7
NBCC,19-Dec-2018,B,52.437496,54.537502,S,52.29,54.66,55.95
CUMMINSIND,21-Dec-2018,S,792.0094,813.025,B,790.51,811.45,790.0
SRF,11-Dec-2018,B,2077.6438,2136.9968,S,2119.18,2175.45,2149.55
TATAPOWER,21-Dec-2018,B,77.293755,80.231255,S,77.16,79.93,76.15
BOSCHLTD,11-Dec-2018,B,18528.863,19013.15,S,18834.02,19240.65,19799.65
ICICIPRULI,17-Dec-2018,B,313.69693,321.9,S,312.13,320.97,325.9
LUPIN,21-Dec-2018,B,838.5781,866.90314,S,837.98,867.55,859.7
BANKBARODA,12-Dec-2018,B,106.2625,110.15625,S,106.68,110.47,115.05
PETRONET,13-Dec-2018,B,210.23126,215.39687,S,211.62,217.07,221.4
PEL,13-Dec-2018,B,2119.9875,2203.6218,S,2108.17,2182.07,2289.9
INDIGO,13-Dec-2018,B,1006.96875,1040.6969,S,1017.42,1053.26,1151.25
COLPAL,15-Nov-2018,B,1098.0093,1122.4062,S,1236.44,1276.28,1327.0
IDEA,18-Dec-2018,B,35.06875,36.865623,S,34.81,36.39,38.15
SIEMENS,11-Dec-2018,B,912.58124,946.11566,S,928.26,962.58,994.0
OFSS,12-Dec-2018,B,3427.0405,3524.9,S,3485.99,3595.21,3666.7
ICICIGI,20-Dec-2018,S,852.55316,889.3469,B,852.55,889.35,862.0
ABB,21-Dec-2018,S,7422.2217,7618.762,B,7402.61,7601.77,1308.0
HDFCLIFE,13-Dec-2018,S,388.17188,396.03436,B,389.00,396.39,385.2
NHPC,21-Dec-2018,S,25.925,26.375,B,25.92,26.37,25.9
HINDZINC,30-Nov-2018,B,261.81876,266.98438,S,267.76,273.97,275.75
MARICO,11-Dec-2018,B,352.1656,359.56564,S,359.42,369.13,377.45
CADILAHC,06-Dec-2018,S,350.2594,362.92502,B,346.24,356.16,341.4
ASHOKLEY,21-Dec-2018,S,103.90313,106.99062,B,104.04,107.15,105.25
SUNTV,19-Dec-2018,B,576.1125,595.2344,S,575.38,594.37,591.7
AUROPHARMA,06-Dec-2018,S,781.59375,805.125,B,753.28,776.94,719.0
MOTHERSUMI,13-Dec-2018,B,153.25314,159.6875,S,157.09,164.36,168.75
OIL,null,S,198.65625,203.60936,B,180.03,184.73,177.15
ABCAPITAL,28-Nov-2018,S,106.90938,110.56249,B,99.01,102.09,98.4
BHEL,17-Dec-2018,B,65.5875,68.046875,S,65.93,68.48,69.75
DABUR,12-Dec-2018,B,401.79688,414.375,S,414.53,427.15,438.8
SAIL,19-Dec-2018,B,52.54375,54.431248,S,52.36,54.24,52.75
BANDHANBNK,12-Dec-2018,B,464.05624,481.11566,S,487.87,508.17,531.0
DLF,12-Dec-2018,B,171.025,178.1875,S,172.02,179.40,187.1
PGHH,30-Nov-2018,B,9397.087,9586.3,S,9508.19,9720.64,9800.0
BRITANNIA,21-Dec-2018,B,3048.9565,3125.4685,S,3223.35,3302.67,3118.1
CONCOR,21-Dec-2018,S,655.35944,673.2969,B,655.32,672.99,655.0
NIACL,16-Nov-2018,S,215.89064,222.61874,B,195.47,199.57,186.5
HAVELLS,11-Dec-2018,B,668.9312,685.52814,S,681.13,699.19,690.7
SHREECEM,12-Dec-2018,B,15968.797,16376.613,S,16302.96,16743.91,17137.2
DMART,30-Oct-2018,B,1251.3407,1315.3468,S,1510.51,1548.83,1612.25
AMBUJACEM,12-Dec-2018,B,212.29375,218.20937,S,213.55,219.70,220.35
BEL,19-Dec-2018,B,82.12812,85.53437,S,81.62,85.02,88.1
SBILIFE,17-Dec-2018,B,561.54065,574.83124,S,563.89,578.81,578.0
BIOCON,21-Dec-2018,S,617.7219,635.8375,B,615.09,633.28,621.9
MCDOWELL-N,21-Dec-2018,S,630.69684,650.8499,B,630.38,650.91,621.0
GODREJCP,12-Dec-2018,B,729.57806,751.0999,S,763.09,786.68,804.0
GICRE,19-Dec-2018,S,277.60004,285.22498,B,275.93,284.19,268.4
MRF,18-Dec-2018,B,66179.875,67521.15,S,66107.49,67527.95,67140.0
ACC,12-Dec-2018,B,1445.7345,1482.4719,S,1456.54,1494.63,1490.0
NMDC,17-Dec-2018,B,92.53437,95.18437,S,92.43,95.00,94.4
LICHSGFIN,13-Dec-2018,B,442.6625,458.3375,S,443.72,459.19,469.55
L&TFH,12-Dec-2018,B,135.39688,139.99063,S,140.31,145.42,150.9
PIDILITIND,21-Dec-2018,S,1142.1593,1174.0001,B,1140.48,1173.02,1139.0
SRTRANSFIN,12-Dec-2018,B,1120.2782,1169.3938,S,1129.24,1176.39,1200.3
