NAME, DATE, LAST, LL, LH, NEXT, NL, NH,LTP
DLF,12-Dec-2018,B,171.025,178.1875,S,172.02,179.40,190.0
NIACL,16-Nov-2018,S,215.89064,222.61874,B,195.47,199.57,190.5
AMBUJACEM,12-Dec-2018,B,212.29375,218.20937,S,213.55,219.70,225.15
PIDILITIND,13-Dec-2018,B,1133.5563,1164.0938,S,1140.48,1173.02,1188.15
GODREJCP,12-Dec-2018,B,729.57806,751.0999,S,763.09,786.68,828.1
ASHOKLEY,19-Dec-2018,B,104.24063,107.29063,S,104.04,107.15,106.5
AUROPHARMA,06-Dec-2018,S,781.59375,805.125,B,753.28,776.94,726.0
HINDZINC,30-Nov-2018,B,261.81876,266.98438,S,267.76,273.97,277.95
PETRONET,13-Dec-2018,B,210.23126,215.39687,S,211.62,217.07,222.35
BRITANNIA,null,S,5796.0537,5931.691,B,3223.35,3302.67,3174.0
SAIL,19-Dec-2018,B,52.54375,54.431248,S,52.36,54.24,53.55
ABB,13-Dec-2018,B,7358.338,7570.4473,S,7402.61,7601.77,1310.6
SIEMENS,11-Dec-2018,B,912.58124,946.11566,S,928.26,962.58,994.5
DABUR,12-Dec-2018,B,401.79688,414.375,S,414.53,427.15,444.9
MARICO,11-Dec-2018,B,352.1656,359.56564,S,359.42,369.13,380.25
BANDHANBNK,12-Dec-2018,B,464.05624,481.11566,S,487.87,508.17,536.0
